,a,p,q,num_vol,rolling,distance_threshold,retrace_threshold,offset_threshold,duration,average_holding_duration,profit,return,max_drawDown,caimar_ratio,trade_times,win_rate,profit_factor,sharp_ratio
72,0.1,1,1,1,20,0.03,0.06999999999999999,0.04,361,55.0,485454.1015625,0.4854541015625,0.1666332379918285,2.9133089377180927,4,0.75,6.013474017132979,0.08404643134765374
73,0.1,1,1,1,20,0.03,0.06999999999999999,0.05500000000000001,361,56.25,346792.1875,0.34679218749999996,0.20238619301980076,1.71351702567018,4,0.75,4.581458300135749,0.05928201630311886
74,0.1,1,1,1,20,0.03,0.06999999999999999,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
75,0.1,1,1,1,20,0.03,0.06999999999999999,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
76,0.1,1,1,1,20,0.03,0.06999999999999999,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
77,0.1,1,1,1,20,0.03,0.08999999999999998,0.01,361,6.2,167270.3125,0.1672703124999999,0.19574474727775681,0.854532828217595,20,0.5,1.4052367000537525,0.0404790306512679
78,0.1,1,1,1,20,0.03,0.08999999999999998,0.025,361,13.181818181818182,-93287.5,-0.09328749999999997,0.3066058702915071,-0.30425868856100635,11,0.45454545454545453,0.821377136384154,-0.016122011676404462
79,0.1,1,1,1,20,0.03,0.08999999999999998,0.04,361,54.5,459634.1796875,0.4596341796875001,0.16114603438666253,2.852283529265318,4,0.75,5.746821604416573,0.08011555925111515
80,0.1,1,1,1,20,0.03,0.08999999999999998,0.05500000000000001,361,57.0,295758.203125,0.2957582031249999,0.21609386942761255,1.3686561488690145,4,0.75,3.4233746489241677,0.05080495096051075
81,0.1,1,1,1,20,0.03,0.08999999999999998,0.07,361,122.0,661226.171875,0.6612261718750001,0.14021964863275926,4.7156456197289245,2,0.5,,0.1099988909864107
82,0.1,1,1,1,20,0.03,0.08999999999999998,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
83,0.1,1,1,1,20,0.03,0.08999999999999998,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
84,0.1,1,1,1,20,0.03,0.10999999999999997,0.01,361,6.1,85858.203125,0.08585820312499992,0.20737723358445337,0.4140194255703319,20,0.45,1.1949046545870834,0.02368123782413494
85,0.1,1,1,1,20,0.03,0.10999999999999997,0.025,361,13.0,-174699.609375,-0.17469960937499995,0.3443376449993064,-0.5073497246441115,11,0.36363636363636365,0.6764987028656307,-0.03308611365750754
86,0.1,1,1,1,20,0.03,0.10999999999999997,0.04,361,54.0,378222.0703125,0.3782220703125001,0.19040338941986557,1.986425091826851,4,0.75,4.906046969455533,0.06683379994552924
87,0.1,1,1,1,20,0.03,0.10999999999999997,0.05500000000000001,361,56.5,214346.09375,0.2143460937499999,0.2665400813376029,0.8041795915808496,4,0.5,2.4548698845332946,0.03746800292083452
88,0.1,1,1,1,20,0.03,0.10999999999999997,0.07,361,121.5,612310.15625,0.61231015625,0.16577570143528986,3.693606185638815,2,0.5,,0.10261783026917708
89,0.1,1,1,1,20,0.03,0.10999999999999997,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
90,0.1,1,1,1,20,0.03,0.10999999999999997,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
91,0.1,1,1,1,20,0.03,0.12999999999999998,0.01,361,5.95,22192.3828125,0.02219238281249991,0.2174843623961885,0.102041280430417,20,0.4,1.0453218660203871,0.010210630091319976
92,0.1,1,1,1,20,0.03,0.12999999999999998,0.025,361,12.727272727272727,-238365.4296875,-0.23836542968749996,0.368843173697209,-0.6462514333617004,11,0.2727272727272727,0.5616263235915844,-0.04722126408063244
93,0.1,1,1,1,20,0.03,0.12999999999999998,0.04,361,53.25,314556.25,0.3145562500000001,0.22302944693137638,1.4103799042141079,4,0.5,3.192796641900273,0.05661037876125095
94,0.1,1,1,1,20,0.03,0.12999999999999998,0.05500000000000001,361,55.75,150680.2734375,0.1506802734374999,0.3134866375378309,0.48065931811628215,4,0.5,1.7182024342153035,0.02699665568662733
95,0.1,1,1,1,20,0.03,0.12999999999999998,0.07,361,121.0,549838.28125,0.54983828125,0.21184185398347732,2.595512977774849,2,0.5,,0.09332376700567534
96,0.1,1,1,1,20,0.03,0.12999999999999998,0.085,361,122.0,444958.203125,0.4449582031249999,0.2891794027311668,1.538692586410283,2,0.5,,0.07403011530999687
97,0.1,1,1,1,20,0.03,0.12999999999999998,0.1,361,122.0,444958.203125,0.4449582031249999,0.2891794027311668,1.538692586410283,2,0.5,,0.07403011530999687
